country,citizen,sex,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
AT,EU28_FOR,F,288028 ,310759 ,329981 ,348012 ,365125 ,383295 ,,,,
BE,EU28_FOR,F,416232 ,428008 ,434889 ,440355 ,448655 ,457258 ,,,,
CH,EU28_FOR,F,594052 ,610566 ,622893 ,630371 ,637330 ,645916 ,,,,
CY,EU28_FOR,F,55730 ,57716 ,57673 ,59787 ,63044 ,62935 ,,,,
CZ,EU28_FOR,F,72465 ,76736 ,81670 ,86132 ,91296 ,96186 ,,,,
DE,EU28_FOR,F,1616076 b,1756111 ,1846714 ,1939311 ,2018429 ,2060561 ,,,,
DK,EU28_FOR,F,80174 ,86819 ,92264 ,97063 ,101895 ,105453 ,,,,
EE,EU28_FOR,F,5435 b,5842 ,6230 ,7086 ,7797 ,7630 ,,,,
EL,EU28_FOR,F,125378 ,131823 ,132990 ,137315 ,139868 ,119072 ,,,,
ES,EU28_FOR,F,924739 ,914390 ,908252 ,908457 ,920475 ,942445 ,,,,
FI,EU28_FOR,F,40147 ,41685 ,42606 ,42630 ,43096 ,43321 ,,,,
FR,EU28_FOR,F,735949 ,748699 ,767095 ,775027 ,780696 ,778811 ,,,,
HR,EU28_FOR,F,4037 ,3960 ,3887 ,3817 ,3655 ,3528 ,,,,
HU,EU28_FOR,F,34127 ,35807 ,33112 ,31942 ,30649 ,33567 ,,,,
IE,EU28_FOR,F,207529 ,210131 ,213216 ,213245 ,215407 ,217547 ,,,,
IS,EU28_FOR,F,9238 ,9952 ,10816 ,12814 ,14718 ,16253 ,,,,
IT,EU28_FOR,F,829513 ,867705 ,876677 ,883543 ,886752 b,889130 ,,,,
LI,EU28_FOR,F,3195 ,3262 ,3289 ,3336 ,3383 ,3422 ,,,,
LT,EU28_FOR,F,890 ,710 ,612 ,531 ,529 ,539 ,,,,
LU,EU28_FOR,F,107951 ,111504 ,115383 b,117180 ,117783 ,118359 ,,,,
LV,EU28_FOR,F,2778 ,2321 ,2276 ,2400 ,2487 ,2478 ,,,,
MT,EU28_FOR,F,8790 ,10878 ,13303 ,18551 ,19258 ,21760 ,,,,
NL,EU28_FOR,F,216863 ,230672 ,245677 ,263297 ,282926 ,305546 ,,,,
NO,EU28_FOR,F,133613 ,140778 ,144409 ,147207 ,151021 ,,,,,
PL,EU28_FOR,F,9389 p,8045 ep,9324 ep,8628 ep,8820 ,9706 ep,,,,
PT,EU28_FOR,F,47294 ,49718 ,55696 ,63914 ,73923 ,83473 ,,,,
RO,EU28_FOR,F,7437 ,10551 ,12743 ,14280 ,15999 ,18482 e,,,,
SE,EU28_FOR,F,138985 ,141847 ,143749 ,146320 ,147329 ,147687 ,,,,
SI,EU28_FOR,F,6239 ,6475 ,6838 ,7192 ,7708 ,8065 ,,,,
SK,EU28_FOR,F,16905 ,17932 ,18931 ,19807 ,20674 ,21403 ,,,,
TR,EU28_FOR,F,69815 ,75713 ,77664 ,72510 ,77569 ,89513 ,,,,
UK,EU28_FOR,F,1575674 ,1680491 ,1871982 ,2008490 ,1901523 ,,,,,
AT,EU28_FOR,M,282270 ,305642 ,325543 ,345843 ,365084 ,385302 ,,,,
BE,EU28_FOR,M,436052 ,447870 ,455499 ,462351 ,472210 ,482707 ,,,,
CH,EU28_FOR,M,728793 ,746991 ,759966 ,766642 ,774414 ,784281 ,,,,
CY,EU28_FOR,M,50627 ,51411 ,52973 ,54749 ,54756 ,55866 ,,,,
CZ,EU28_FOR,M,111865 ,118702 ,126592 ,133218 ,141215 ,148814 ,,,,
DE,EU28_FOR,M,1859416 b,2044933 ,2138451 ,2265883 ,2365265 ,2393857 ,,,,
DK,EU28_FOR,M,93021 ,102556 ,110122 ,116402 ,122683 ,124992 ,,,,
EE,EU28_FOR,M,8900 b,9530 ,10226 ,11804 ,13094 ,13253 ,,,,
EL,EU28_FOR,M,73345 ,74841 ,72231 ,73840 ,73302 ,72046 ,,,,
ES,EU28_FOR,M,969567 ,949432 ,936546 ,926609 ,934110 ,951857 ,,,,
FI,EU28_FOR,M,50031 ,52517 ,54605 ,55582 ,56661 ,57751 ,,,,
FR,EU28_FOR,M,763278 ,775020 ,789535 ,794664 ,796335 ,794859 ,,,,
HR,EU28_FOR,M,2944 ,3134 ,3160 ,3109 ,2981 ,2942 ,,,,
HU,EU28_FOR,M,46631 ,49336 ,46213 ,46056 ,43617 ,47493 ,,,,
IE,EU28_FOR,M,205083 ,207853 ,210040 ,209971 ,213807 ,215124 ,,,,
IS,EU28_FOR,M,10557 ,11875 ,14334 ,19135 ,22793 ,25373 ,,,,
IT,EU28_FOR,M,566568 ,596005 ,599907 ,605630 ,613952 b,615391 ,,,,
LI,EU28_FOR,M,3354 ,3426 ,3450 ,3510 ,3537 ,3583 ,,,,
LT,EU28_FOR,M,1520 ,1340 ,1095 ,928 ,910 ,919 ,,,,
LU,EU28_FOR,M,114241 ,118002 ,124907 b,127220 ,128270 ,129519 ,,,,
LV,EU28_FOR,M,4027 ,3653 ,3661 ,3792 ,3946 ,4112 ,,,,
MT,EU28_FOR,M,9648 ,11949 ,14924 ,20324 ,23883 ,26498 ,,,,
NL,EU28_FOR,M,214071 ,228033 ,243442 ,262329 ,284798 ,311086 ,,,,
NO,EU28_FOR,M,194308 ,202307 ,204138 ,205838 ,209050 ,,,,,
PL,EU28_FOR,M,20573 p,17046 ep,20123 ep,21470 ep,22824 ,26892 ep,,,,
PT,EU28_FOR,M,52412 ,54992 ,61919 ,72423 ,84432 ,95904 ,,,,
RO,EU28_FOR,M,26366 ,37479 ,40799 ,42452 ,44266 ,45109 e,,,,
SE,EU28_FOR,M,156983 ,162141 ,166769 ,171943 ,174635 ,174637 ,,,,
SI,EU28_FOR,M,10926 ,11122 ,11882 ,12348 ,12992 ,13458 ,,,,
SK,EU28_FOR,M,30297 ,32508 ,34580 ,36142 ,37634 ,38908 ,,,,
TR,EU28_FOR,M,62897 ,68243 ,70559 ,65984 ,71155 ,83476 ,,,,
UK,EU28_FOR,M,1410852 ,1523625 ,1755932 ,1851747 ,1780336 ,,,,,
AT,EU28_FOR,T,570298 ,616401 ,655524 ,693855 ,730209 ,768597 ,,,,
BE,EU28_FOR,T,852284 ,875878 ,890388 ,902706 ,920865 ,939965 ,,,,
CH,EU28_FOR,T,1322845 ,1357557 ,1382859 ,1397013 ,1411744 ,1430197 ,,,,
CY,EU28_FOR,T,106357 ,109127 ,110646 ,114536 ,117800 ,118801 ,,,,
CZ,EU28_FOR,T,184330 ,195438 ,208262 ,219350 ,232511 ,245000 ,,,,
DE,EU28_FOR,T,3475492 b,3801044 ,3985165 ,4205194 ,4383694 ,4454418 ,,,,
DK,EU28_FOR,T,173195 ,189375 ,202386 ,213465 ,224578 ,230445 ,,,,
EE,EU28_FOR,T,14335 b,15372 ,16456 ,18890 ,20891 ,20883 ,,,,
EL,EU28_FOR,T,198723 ,206664 ,205221 ,211155 ,213170 ,191118 ,,,,
ES,EU28_FOR,T,1894306 ,1863822 ,1844798 ,1835066 ,1854585 ,1894302 ,,,,
FI,EU28_FOR,T,90178 ,94202 ,97211 ,98212 ,99757 ,101072 ,,,,
FR,EU28_FOR,T,1499227 ,1523719 ,1556630 ,1569691 ,1577031 ,1573670 ,,,,
HR,EU28_FOR,T,6981 ,7094 ,7047 ,6926 ,6636 ,6470 ,,,,
HU,EU28_FOR,T,80758 ,85143 ,79325 ,77998 ,74266 ,81060 ,,,,
